College,State,Financial GPA,Financial Grade
St. Edward's University,TX,2,C
St. Thomas Aquinas College,NY,2,C
Trinity International University-Illinois,IL,2,C
Universidad Central de Bayamon,PR,2,C
Allen University,SC,1.99,C
Hult International Business School,MA,1.99,C
Oral Roberts University,OK,1.99,C
Roosevelt University,IL,1.99,C
University of Lynchburg,VA,1.99,C
Andrews University,MI,1.98,C
Brenau University,GA,1.98,C
Neumann University,PA,1.98,C
Northland College,WI,1.98,C
Eastern Mennonite University,VA,1.97,C
National Louis University,IL,1.97,C
Point University,GA,1.97,C
William Penn University,IA,1.97,C
Wilson College,PA,1.97,C
Brandman University,CA,1.96,C
Concordia University-Nebraska,NE,1.96,C
Menlo College,CA,1.96,C
North Central College,IL,1.96,C
Shenandoah University,VA,1.96,C
Stetson University,FL,1.96,C
The Master's University and Seminary,CA,1.96,C
University of the Cumberlands,KY,1.96,C
Austin College,TX,1.95,C
Central Christian College of Kansas,KS,1.95,C
Lee University,TN,1.95,C
Life University,GA,1.94,C
Northwest University,WA,1.94,C
Reinhardt University,GA,1.94,C
University of Mary Hardin-Baylor,TX,1.94,C
University of Redlands,CA,1.94,C
Webber International University,FL,1.94,C
Whittier College,CA,1.94,C
Brescia University,KY,1.93,C
Geneva College,PA,1.93,C
Greenville University,IL,1.93,C
Holy Family University,PA,1.93,C
Juniata College,PA,1.93,C
Kentucky Wesleyan College,KY,1.93,C
Limestone College,SC,1.93,C
Newman University,KS,1.93,C
Simpson College,IA,1.93,C
University of St Francis,IL,1.93,C
Carlow University,PA,1.92,C
Concordia University-Wisconsin,WI,1.92,C
Fairleigh Dickinson University-Metropolitan Campus,NJ,1.92,C
Heidelberg University,OH,1.92,C
Presentation College,SD,1.92,C
Trevecca Nazarene University,TN,1.92,C
Xavier University of Louisiana,LA,1.92,C
Beth Medrash Govoha,NJ,1.91,C
Coker College,SC,1.91,C
Edward Waters College,FL,1.91,C
Florida Southern College,FL,1.91,C
Gwynedd Mercy University,PA,1.91,C
North Greenville University,SC,1.91,C
Westminster College,UT,1.91,C
Bastyr University,WA,1.9,C
Bethel University,TN,1.9,C
Capitol Technology University,MD,1.89,C
Catawba College,NC,1.89,C
Concordia University-Ann Arbor,MI,1.89,C
DeSales University,PA,1.89,C
Harding University,AR,1.89,C
Ohio Christian University,OH,1.89,C
University of New Haven,CT,1.89,C
Lincoln Memorial University,TN,1.88,C
Lipscomb University,TN,1.88,C
Marymount University,VA,1.88,C
Mid-America Christian University,OK,1.88,C
Wentworth Institute of Technology,MA,1.88,C
Bryan College-Dayton,TN,1.87,C
Hiram College,OH,1.87,C
Peirce College,PA,1.87,C
Springfield College,MA,1.87,C
Adelphi University,NY,1.86,C
Campbell University,NC,1.86,C
Greensboro College,NC,1.86,C
The New School,NY,1.86,C
Union Institute & University,OH,1.86,C
Young Harris College,GA,1.86,C
King's College,PA,1.85,C
Lane College,TN,1.85,C
Lewis & Clark College,OR,1.85,C
Mount Saint Mary College,NY,1.85,C
Robert Morris University Illinois,IL,1.85,C
Seton Hall University,NJ,1.85,C
Southern Virginia University,VA,1.85,C
Lasell College,MA,1.84,C
Manchester University,IN,1.84,C
Marian University,WI,1.84,C
Marymount California University,CA,1.83,C-
Oklahoma Christian University,OK,1.83,C-
Suffolk University,MA,1.83,C-
Union College,NE,1.83,C-
Houston Baptist University,TX,1.82,C-
Morris College,SC,1.82,C-
Fisher College,MA,1.81,C-
Point Park University,PA,1.81,C-
Southern California University of Health Sciences,CA,1.81,C-
St Bonaventure University,NY,1.81,C-
Ferrum College,VA,1.8,C-
Hartwick College,NY,1.8,C-
Molloy College,NY,1.8,C-
Simmons University,MA,1.8,C-
Bluffton University,OH,1.79,C-
Our Lady of the Lake University,TX,1.79,C-
Virginia Wesleyan University,VA,1.79,C-
Baldwin Wallace University,OH,1.78,C-
Elmhurst College,IL,1.78,C-
Emmanuel College,MA,1.78,C-
North Central University,MN,1.78,C-
Paul Smith's College of Arts and Science,NY,1.78,C-
University of the Incarnate Word,TX,1.78,C-
Arcadia University,PA,1.77,C-
Cabrini University,PA,1.77,C-
Guilford College,NC,1.77,C-
Dillard University,LA,1.76,C-
Aurora University,IL,1.75,C-
Gannon University,PA,1.75,C-
Lewis University,IL,1.75,C-
Lynn University,FL,1.75,C-
Southern Wesleyan University,SC,1.75,C-
Calumet College of St. Joseph,IN,1.74,C-
University of Mary,ND,1.74,C-
Cardinal Stritch University,WI,1.73,C-
Eckerd College,FL,1.73,C-
Fresno Pacific University,CA,1.73,C-
New England College,NH,1.73,C-
Otis College of Art and Design,CA,1.73,C-
Southwest Baptist University,MO,1.73,C-
Union College,KY,1.73,C-
Fordham University,NY,1.72,C-
Husson University,ME,1.72,C-
LaGrange College,GA,1.72,C-
Northwestern Health Sciences University,MN,1.72,C-
Rockford University,IL,1.72,C-
St. Andrews University,NC,1.72,C-
Stillman College,AL,1.72,C-
Harrisburg University of Science and Technology,PA,1.71,C-
LeMoyne-Owen College,TN,1.71,C-
Midland University,NE,1.71,C-
Mississippi College,MS,1.71,C-
Wartburg College,IA,1.71,C-
Manhattan School of Music,NY,1.7,C-
Maranatha Baptist University,WI,1.7,C-
Samford University,AL,1.7,C-
Bacone College,OK,1.69,C-
Grand View University,IA,1.69,C-
Naropa University,CO,1.69,C-
Albright College,PA,1.68,C-
Capital University,OH,1.68,C-
Florida Memorial University,FL,1.68,C-
Hood College,MD,1.68,C-
Nova Southeastern University,FL,1.68,C-
Hawaii Pacific University,HI,1.67,C-
Lancaster Bible College,PA,1.67,C-
Missouri Baptist University,MO,1.67,C-
Southwestern Assemblies of God University,TX,1.67,C-
Stevenson University,MD,1.67,C-
Chaminade University of Honolulu,HI,1.66,C-
Oklahoma Wesleyan University,OK,1.66,C-
Saint Michael's College,VT,1.65,C-
Touro College,NY,1.65,C-
University of Saint Joseph,CT,1.65,C-
Livingstone College,NC,1.64,C-
Merrimack College,MA,1.64,C-
University of the Southwest,NM,1.64,C-
Vanguard University of Southern California,CA,1.64,C-
Drexel University,PA,1.63,C-
Erskine College,SC,1.63,C-
Excelsior College,NY,1.63,C-
Stevens-Henager College,UT,1.63,C-
United Talmudical Seminary,NY,1.63,C-
University of Sioux Falls,SD,1.63,C-
Champlain College,VT,1.62,C-
Davenport University,MI,1.62,C-
Johnson & Wales University-Providence,RI,1.62,C-
Roberts Wesleyan College,NY,1.62,C-
The University of Findlay,OH,1.62,C-
University of Mobile,AL,1.62,C-
Jarvis Christian College,TX,1.61,C-
Thomas University,GA,1.61,C-
William Woods University,MO,1.61,C-
Oakland City University,IN,1.6,C-
Saint Francis University,PA,1.6,C-
Universidad Ana G. Mendez-Cupey Campus,PR,1.6,C-
Wilmington College,OH,1.6,C-
Alvernia University,PA,1.59,C-
Defiance College,OH,1.59,C-
Emmanuel College,GA,1.59,C-
Philander Smith College,AR,1.59,C-
Rensselaer Polytechnic Institute,NY,1.59,C-
Rochester College,MI,1.59,C-
San Diego Christian College,CA,1.59,C-
University of Hartford,CT,1.59,C-
Wilkes University,PA,1.59,C-
Gardner-Webb University,NC,1.58,C-
Bethany College,WV,1.57,C-
North American University,TX,1.57,C-
Presbyterian College,SC,1.57,C-
Barton College,NC,1.56,C-
Crown College,MN,1.56,C-
Golden Gate University,CA,1.56,C-
Saint Mary-of-the-Woods College,IN,1.56,C-
Seton Hill University,PA,1.56,C-
University of Charleston,WV,1.56,C-
College of Saint Elizabeth,NJ,1.55,C-
Drury University,MO,1.55,C-
New York Institute of Technology,NY,1.55,C-
Regis University,CO,1.55,C-
Huston-Tillotson University,TX,1.54,C-
Mars Hill University,NC,1.54,C-
Siena College,NY,1.54,C-
University of Indianapolis,IN,1.54,C-
William Peace University,NC,1.54,C-
Chowan University,NC,1.53,C-
Notre Dame of Maryland University,MD,1.53,C-
Pacific Lutheran University,WA,1.53,C-
Roseman University of Health Sciences,NV,1.53,C-
Universidad Ana G. Mendez-Carolina Campus,PR,1.53,C-
Columbus College of Art and Design,OH,1.52,C-
Heritage University,WA,1.52,C-
Unity College,ME,1.52,C-
William Jewell College,MO,1.52,C-
Benedictine College,KS,1.51,C-
Bethel University,MN,1.51,C-
Bloomfield College,NJ,1.51,C-
Clarkson University,NY,1.51,C-
Fontbonne University,MO,1.51,C-
Tiffin University,OH,1.51,C-
Universidad Ana G. Mendez-Gurabo Campus,PR,1.51,C-
Universidad del Sagrado Corazon,PR,1.51,C-
Central College,IA,1.5,C-
Dominican College of Blauvelt,NY,1.5,C-
Lourdes University,OH,1.5,C-
Montreat College,NC,1.5,C-
